departement,ICU,rea_adultes_public,surcapacity,color_code,color
01,38.337913963464445,12,3.194826163622037,red,"[222, 0, 23]"
02,31.374978909463163,34,0.9227934973371519,green,"[138, 205, 1]"
03,31.952793844253808,24,1.331366410177242,yellow,"[255, 235, 0]"
04,1.6154730490120086,6,0.2692455081686681,lightgreen,"[0, 157, 0]"
06,409.34943467912467,65,6.297683610448072,red,"[222, 0, 23]"
07,74.35537896760356,8,9.294422370950445,red,"[222, 0, 23]"
08,4.67657808528906,12,0.38971484044075505,lightgreen,"[0, 157, 0]"
09,1.4343731445347288,8,0.1792966430668411,lightgreen,"[0, 157, 0]"
10,1.7923603972810263,12,0.14936336644008552,lightgreen,"[0, 157, 0]"
11,4.443790929682911,16,0.27773693310518194,lightgreen,"[0, 157, 0]"
12,2.235221214751588,11,0.20320192861378075,lightgreen,"[0, 157, 0]"
13,149.38576163574618,146,1.0231901481900423,yellow,"[255, 235, 0]"
14,35.14260451419506,76,0.46240269097625075,lightgreen,"[0, 157, 0]"
15,5.8742887057250295,8,0.7342860882156287,green,"[138, 205, 1]"
16,0.9843738804760471,12,0.08203115670633726,lightgreen,"[0, 157, 0]"
17,15.70805704021228,30,0.5236019013404093,green,"[138, 205, 1]"
18,8.84805421489948,12,0.7373378512416234,green,"[138, 205, 1]"
19,4.532588509910714,15,0.30217256732738096,lightgreen,"[0, 157, 0]"
21,34.90792369149027,57,0.6124197138857942,green,"[138, 205, 1]"
22,26.673193016179056,14,1.9052280725842183,orange,"[254, 129, 0]"
23,1.1904304238621637,8,0.14880380298277046,lightgreen,"[0, 157, 0]"
24,17.288796188506172,19,0.9099366415003248,green,"[138, 205, 1]"
25,38.701465384639945,40,0.9675366346159986,green,"[138, 205, 1]"
26,27.0626214731661,24,1.1276092280485874,yellow,"[255, 235, 0]"
27,2.7068747668500803,12,0.2255728972375067,lightgreen,"[0, 157, 0]"
28,78.75307239938806,20,3.937653619969403,red,"[222, 0, 23]"
29,91.76307129130994,66,1.3903495650198476,yellow,"[255, 235, 0]"
2A,1.7038322678041438,10,0.17038322678041437,lightgreen,"[0, 157, 0]"
2B,6.049752502842306,8,0.7562190628552883,green,"[138, 205, 1]"
30,11.812042998043147,39,0.3028728973857217,lightgreen,"[0, 157, 0]"
31,17.046530674855195,101,0.16877753143420984,lightgreen,"[0, 157, 0]"
32,26.939560722822566,8,3.367445090352821,red,"[222, 0, 23]"
33,123.45379188986891,147,0.8398217135365232,green,"[138, 205, 1]"
34,127.14358852137748,98,1.2973835563405864,yellow,"[255, 235, 0]"
35,25.466043038318723,60,0.42443405063864537,lightgreen,"[0, 157, 0]"
36,22.41801056280805,10,2.241801056280805,orange,"[254, 129, 0]"
37,21.94888491203473,69,0.31809978133383665,lightgreen,"[0, 157, 0]"
38,3.068465698961815,66,0.046491904529724466,lightgreen,"[0, 157, 0]"
39,57.90874069883491,8,7.238592587354364,red,"[222, 0, 23]"
40,91.00412163150628,14,6.500294402250448,red,"[222, 0, 23]"
41,62.22228527214186,12,5.185190439345155,red,"[222, 0, 23]"
42,30.51631378348272,54,0.5651169219163467,green,"[138, 205, 1]"
43,0.7501513215481446,8,0.09376891519351807,lightgreen,"[0, 157, 0]"
44,91.8428198805831,77,1.1927638945530272,yellow,"[255, 235, 0]"
45,39.16944607533035,47,0.8333924696878797,green,"[138, 205, 1]"
46,15.440463870045809,8,1.9300579837557261,orange,"[254, 129, 0]"
47,25.660207176554046,11,2.332746106959459,orange,"[254, 129, 0]"
48,0.010704812241355036,3,0.003568270747118345,lightgreen,"[0, 157, 0]"
49,17.295858601999726,61,0.2835386656065529,lightgreen,"[0, 157, 0]"
50,10.032055097519937,28,0.35828768205428346,lightgreen,"[0, 157, 0]"
51,52.55421055259551,44,1.1944138761953524,yellow,"[255, 235, 0]"
52,4.2061622124051175,8,0.5257702765506397,green,"[138, 205, 1]"
53,39.22535108167194,8,4.903168885208992,red,"[222, 0, 23]"
54,29.709207394628866,65,0.4570647291481364,lightgreen,"[0, 157, 0]"
55,1.2199639321958828,8,0.15249549152448535,lightgreen,"[0, 157, 0]"
56,130.4701379649814,22,5.930460816590064,red,"[222, 0, 23]"
57,22.64657576775536,56,0.4044031387099171,lightgreen,"[0, 157, 0]"
58,38.79807968970872,12,3.233173307475727,red,"[222, 0, 23]"
59,152.4312685208563,203,0.7508929483786024,green,"[138, 205, 1]"
60,124.74989046095475,36,3.4652747350265205,red,"[222, 0, 23]"
61,6.291654767879345,16,0.3932284229924591,lightgreen,"[0, 157, 0]"
62,79.75063280927857,82,0.9725686927960802,green,"[138, 205, 1]"
63,22.588450791121684,67,0.33714105658390575,lightgreen,"[0, 157, 0]"
64,3.1214999469574902,35,0.089185712770214,lightgreen,"[0, 157, 0]"
65,1.471298581756588,12,0.12260821514638233,lightgreen,"[0, 157, 0]"
66,0.7841688531548406,24,0.03267370221478503,lightgreen,"[0, 157, 0]"
67,118.06198109861471,122,0.9677211565460222,green,"[138, 205, 1]"
68,165.19521724281776,70,2.3599316748973966,orange,"[254, 129, 0]"
69,178.913320334696,145,1.2338849678254897,yellow,"[255, 235, 0]"
70,81.4349885365556,12,6.786249044712966,red,"[222, 0, 23]"
71,11.67234321912141,26,0.4489362776585158,lightgreen,"[0, 157, 0]"
72,42.58247983263342,17,2.5048517548607894,orange,"[254, 129, 0]"
73,7.380781162034219,18,0.4100433978907899,lightgreen,"[0, 157, 0]"
74,71.86951577461446,34,2.1138092874886603,orange,"[254, 129, 0]"
75,1073.3288501830646,333,3.223209760309503,red,"[222, 0, 23]"
76,8.99739305353175,93,0.0967461618659328,lightgreen,"[0, 157, 0]"
77,90.96343279410652,69,1.3183106202044423,yellow,"[255, 235, 0]"
78,91.97987116121526,56,1.6424976993074154,orange,"[254, 129, 0]"
79,20.611465949917115,8,2.5764332437396393,orange,"[254, 129, 0]"
80,101.44726645935899,58,1.7490908010234307,orange,"[254, 129, 0]"
81,7.778518919737082,16,0.48615743248356763,lightgreen,"[0, 157, 0]"
83,77.06556905018269,48,1.6055326885454726,orange,"[254, 129, 0]"
84,13.40678809651913,16,0.8379242560324456,green,"[138, 205, 1]"
85,1.2241937193491235,18,0.06801076218606242,lightgreen,"[0, 157, 0]"
86,8.413704942336194,53,0.1587491498553999,lightgreen,"[0, 157, 0]"
87,10.146921452913217,24,0.42278839387138406,lightgreen,"[0, 157, 0]"
88,11.286104101973805,8,1.4107630127467257,yellow,"[255, 235, 0]"
89,47.544641680948345,18,2.641368982274908,orange,"[254, 129, 0]"
90,0.81734011814876,25,0.0326936047259504,lightgreen,"[0, 157, 0]"
91,128.89187801582966,44,2.929360863996129,orange,"[254, 129, 0]"
92,360.8751388904787,99,3.6452034231361483,red,"[222, 0, 23]"
93,285.5899959038921,67,4.262537252296897,red,"[222, 0, 23]"
94,298.4928493485729,136,2.194800362857154,orange,"[254, 129, 0]"
95,231.98179320300508,60,3.8663632200500846,red,"[222, 0, 23]"
971,3.0802998949089018,27,0.11408518129292229,lightgreen,"[0, 157, 0]"
972,42.862530329955156,26,1.648558858844429,orange,"[254, 129, 0]"
973,0.35015429810049925,13,0.026934946007730713,lightgreen,"[0, 157, 0]"
974,4.02752181863457,52,0.07745234266604942,lightgreen,"[0, 157, 0]"
976,49.84114265758106,6,8.306857109596843,red,"[222, 0, 23]"
