departement,ICU,rea_adultes_public,surcapacity,color_code,color
01,16.429733846383037,12,1.3691444871985865,yellow,"[255, 235, 0]"
02,26.8575639507536,34,0.789928351492753,green,"[138, 205, 1]"
03,15.872625706652968,24,0.6613594044438736,green,"[138, 205, 1]"
04,1.6154729603255427,6,0.26924549338759046,lightgreen,"[0, 157, 0]"
05,3.123968431120552,8,0.390496053890069,lightgreen,"[0, 157, 0]"
06,447.52750602843605,65,6.885038554283631,red,"[222, 0, 23]"
07,90.90590028460666,8,11.363237535575832,red,"[222, 0, 23]"
08,4.676576760864289,12,0.38971473007202406,lightgreen,"[0, 157, 0]"
09,1.43437298824748,8,0.179296623530935,lightgreen,"[0, 157, 0]"
10,1.792359580063886,12,0.14936329833865716,lightgreen,"[0, 157, 0]"
11,4.443790326314133,16,0.2777368953946333,lightgreen,"[0, 157, 0]"
12,1.984408479318397,11,0.180400770847127,lightgreen,"[0, 157, 0]"
13,149.38572154385608,146,1.0231898735880554,yellow,"[255, 235, 0]"
14,23.28363770238566,76,0.3063636539787587,lightgreen,"[0, 157, 0]"
15,4.4966389330107885,8,0.5620798666263486,green,"[138, 205, 1]"
16,0.9843738771847621,12,0.0820311564320635,lightgreen,"[0, 157, 0]"
17,11.528603831047995,30,0.3842867943682665,lightgreen,"[0, 157, 0]"
18,5.2043899887838885,12,0.4336991657319907,lightgreen,"[0, 157, 0]"
19,4.532587200195265,15,0.30217248001301766,lightgreen,"[0, 157, 0]"
21,34.90791192454409,57,0.6124195074481419,green,"[138, 205, 1]"
22,10.603051464750191,14,0.7573608189107279,green,"[138, 205, 1]"
23,1.1339563436847282,8,0.14174454296059102,lightgreen,"[0, 157, 0]"
24,6.452518282007038,19,0.3396062253687915,lightgreen,"[0, 157, 0]"
25,34.69174642816113,40,0.8672936607040282,green,"[138, 205, 1]"
26,27.062618508090164,24,1.1276091045037568,yellow,"[255, 235, 0]"
27,2.706874757373668,12,0.22557289644780565,lightgreen,"[0, 157, 0]"
28,55.07272947293793,20,2.7536364736468966,orange,"[254, 129, 0]"
29,52.664785550242726,66,0.7979512962157989,green,"[138, 205, 1]"
2A,1.7038322554626744,10,0.17038322554626745,lightgreen,"[0, 157, 0]"
2B,2.409809969713998,8,0.30122624621424976,lightgreen,"[0, 157, 0]"
30,11.812038850790493,39,0.3028727910459101,lightgreen,"[0, 157, 0]"
31,17.046525966791563,101,0.16877748481971844,lightgreen,"[0, 157, 0]"
32,26.97038607566137,8,3.3712982594576713,red,"[222, 0, 23]"
33,65.75224195055719,147,0.4472941629289605,lightgreen,"[0, 157, 0]"
34,65.73066411425803,98,0.6707210623903881,green,"[138, 205, 1]"
35,24.247499594877922,60,0.40412499324796536,lightgreen,"[0, 157, 0]"
36,10.247998036060647,10,1.0247998036060646,yellow,"[255, 235, 0]"
37,19.484427040674856,69,0.2823830005894907,lightgreen,"[0, 157, 0]"
38,3.0684656114023547,66,0.04649190320306598,lightgreen,"[0, 157, 0]"
39,69.92460059485758,8,8.740575074357197,red,"[222, 0, 23]"
40,96.46424975649953,14,6.890303554035681,red,"[222, 0, 23]"
41,59.88031478410208,12,4.990026232008507,red,"[222, 0, 23]"
42,30.516313699679518,54,0.5651169203644355,green,"[138, 205, 1]"
43,0.7501513148625869,8,0.09376891435782336,lightgreen,"[0, 157, 0]"
44,42.712601056089184,77,0.5547091046245348,green,"[138, 205, 1]"
45,34.17972590481492,47,0.7272282107407431,green,"[138, 205, 1]"
46,6.8420190950903494,8,0.8552523868862937,green,"[138, 205, 1]"
47,12.512284173122392,11,1.137480379374763,yellow,"[255, 235, 0]"
48,0.010704808975892925,3,0.003568269658630975,lightgreen,"[0, 157, 0]"
49,17.29585622057862,61,0.28353862656686263,lightgreen,"[0, 157, 0]"
50,9.279477860969129,28,0.3314099236060403,lightgreen,"[0, 157, 0]"
51,52.55419160705542,44,1.194413445614896,yellow,"[255, 235, 0]"
52,4.206161878284291,8,0.5257702347855364,green,"[138, 205, 1]"
53,18.689914230761467,8,2.3362392788451833,orange,"[254, 129, 0]"
54,29.709199977270675,65,0.45706461503493345,lightgreen,"[0, 157, 0]"
55,1.219963925287262,8,0.15249549066090776,lightgreen,"[0, 157, 0]"
56,103.21206435857775,22,4.691457470844443,red,"[222, 0, 23]"
57,22.646574975959478,56,0.404403124570705,lightgreen,"[0, 157, 0]"
58,52.4045241002001,12,4.367043675016675,red,"[222, 0, 23]"
59,122.99351248572835,203,0.6058793718508786,green,"[138, 205, 1]"
60,65.69078188154103,36,1.8247439411539175,orange,"[254, 129, 0]"
61,6.291653807748755,16,0.3932283629842972,lightgreen,"[0, 157, 0]"
62,64.18286424144566,82,0.7827178566029959,green,"[138, 205, 1]"
63,10.098655252736108,67,0.15072619780203148,lightgreen,"[0, 157, 0]"
64,3.1214992199854654,35,0.08918569199958473,lightgreen,"[0, 157, 0]"
65,1.4712982619782062,12,0.12260818849818385,lightgreen,"[0, 157, 0]"
66,0.7841688337934479,24,0.03267370140806033,lightgreen,"[0, 157, 0]"
67,118.0619696468551,122,0.9677210626791402,green,"[138, 205, 1]"
68,165.19519628548426,70,2.359931375506918,orange,"[254, 129, 0]"
69,121.63796378232222,145,0.8388825088436015,green,"[138, 205, 1]"
70,60.895776130090525,12,5.074648010840877,red,"[222, 0, 23]"
71,11.672341721029415,26,0.4489362200395929,lightgreen,"[0, 157, 0]"
72,18.23009571264868,17,1.0723585713322752,yellow,"[255, 235, 0]"
73,7.380779831683899,18,0.4100433239824388,lightgreen,"[0, 157, 0]"
74,51.042023669562454,34,1.5012359902812487,orange,"[254, 129, 0]"
75,1073.2863539048064,333,3.2230821438582775,red,"[222, 0, 23]"
76,8.997392877021705,93,0.09674615996797532,lightgreen,"[0, 157, 0]"
77,90.96342375829956,69,1.3183104892507183,yellow,"[255, 235, 0]"
78,91.97985180395129,56,1.6424973536419873,orange,"[254, 129, 0]"
79,6.463193816766084,8,0.8078992270957605,green,"[138, 205, 1]"
80,67.87581403148145,58,1.1702726557151975,yellow,"[255, 235, 0]"
81,7.778517780753221,16,0.4861573612970763,lightgreen,"[0, 157, 0]"
82,0.14548288242290508,10,0.014548288242290508,lightgreen,"[0, 157, 0]"
83,50.60975946840927,48,1.0543699889251932,yellow,"[255, 235, 0]"
84,8.67773857420111,16,0.5423586608875693,green,"[138, 205, 1]"
85,1.2241935827653128,18,0.06801075459807293,lightgreen,"[0, 157, 0]"
86,8.413703846266825,53,0.15874912917484577,lightgreen,"[0, 157, 0]"
87,10.146918007863668,24,0.4227882503276528,lightgreen,"[0, 157, 0]"
88,11.286104062634662,8,1.4107630078293327,yellow,"[255, 235, 0]"
89,26.955132140622062,18,1.49750734114567,yellow,"[255, 235, 0]"
90,0.817339916411083,25,0.032693596656443315,lightgreen,"[0, 157, 0]"
91,128.89186438675196,44,2.929360554244363,orange,"[254, 129, 0]"
92,360.87508877652124,99,3.645202916934558,red,"[222, 0, 23]"
93,241.61301078569804,67,3.606164340085045,red,"[222, 0, 23]"
94,298.4927924188422,136,2.194799944256193,orange,"[254, 129, 0]"
95,231.98136487917208,60,3.866356081319535,red,"[222, 0, 23]"
971,2.908042915337575,27,0.10770529316065093,lightgreen,"[0, 157, 0]"
972,23.174485329383188,26,0.8913263588224303,green,"[138, 205, 1]"
973,0.3501541953980685,13,0.026934938107543733,lightgreen,"[0, 157, 0]"
974,1.778453958089085,52,0.034201037655559326,lightgreen,"[0, 157, 0]"
976,46.500466521305796,6,7.750077753550966,red,"[222, 0, 23]"
